,accuracy,f1-score,precision,recall,specificity
always_0_0,19.1 +- 1.2,30.5 +- 1.6,19.1 +- 1.2,99.7 +- 0.6,0.3 +- 0.6
always_0_1,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,80.9 +- 1.2,88.9 +- 0.8,80.9 +- 1.2,100.0 +- 0.0,0.0 +- 0.0
CNN_20_HR_0,26.2 +- 1.4,39.6 +- 1.8,57.4 +- 2.7,44.6 +- 2.8,86.7 +- 2.1
CNN_20_HR_1,75.2 +- 1.9,84.2 +- 1.7,86.0 +- 1.3,86.7 +- 2.1,44.6 +- 2.8
CNN_50_HR_0,27.1 +- 1.4,40.7 +- 1.8,59.0 +- 2.7,44.0 +- 2.7,88.5 +- 1.7
CNN_50_HR_1,76.9 +- 1.7,85.8 +- 1.3,86.3 +- 1.2,88.5 +- 1.7,44.0 +- 2.7
CNN_100_HR_0,26.9 +- 1.5,40.4 +- 1.8,58.4 +- 2.7,42.1 +- 2.5,89.8 +- 1.5
CNN_100_HR_1,78.0 +- 1.5,86.7 +- 1.1,86.1 +- 1.2,89.8 +- 1.5,42.1 +- 2.5
LSTM_20_HR_0,30.0 +- 1.3,44.6 +- 1.6,54.5 +- 2.2,47.8 +- 2.4,90.3 +- 0.9
LSTM_20_HR_1,79.3 +- 1.2,87.9 +- 0.8,87.0 +- 1.2,90.3 +- 0.9,47.8 +- 2.4
LSTM_50_HR_0,37.1 +- 1.9,51.4 +- 2.1,57.8 +- 2.5,53.4 +- 2.4,89.6 +- 1.2
LSTM_50_HR_1,81.1 +- 1.3,89.0 +- 0.9,89.4 +- 0.9,89.6 +- 1.2,53.4 +- 2.4
LSTM_100_HR_0,27.1 +- 1.7,40.0 +- 2.1,56.2 +- 2.7,40.7 +- 2.6,91.5 +- 1.1
LSTM_100_HR_1,79.8 +- 1.3,88.2 +- 0.9,86.6 +- 1.1,91.5 +- 1.1,40.7 +- 2.6
SGD_hinge_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_hinge_1,80.9 +- 1.2,88.9 +- 0.8,80.9 +- 1.2,100.0 +- 0.0,0.0 +- 0.0
SGD_log_0,11.0 +- 1.4,17.6 +- 2.0,59.4 +- 4.3,18.3 +- 2.7,92.3 +- 2.2
SGD_log_1,76.5 +- 2.0,84.8 +- 1.8,82.2 +- 1.4,92.3 +- 2.2,18.3 +- 2.7
SGD_perceptron_0,9.3 +- 1.1,15.6 +- 1.6,11.6 +- 1.3,39.8 +- 3.8,43.0 +- 4.1
SGD_perceptron_1,35.9 +- 3.4,44.5 +- 3.7,57.9 +- 3.2,43.0 +- 4.1,39.8 +- 3.8
Random_forest_300_0,14.5 +- 0.7,24.6 +- 1.1,21.2 +- 1.3,37.7 +- 1.4,67.4 +- 1.2
Random_forest_300_1,58.4 +- 1.2,73.1 +- 1.0,82.0 +- 1.2,67.4 +- 1.2,37.7 +- 1.4
stages_0,100.0 +- 0.0,99.7 +- 0.6,99.7 +- 0.6,99.7 +- 0.6,100.0 +- 0.0
stages_1,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
