,Sleep,Wake
always_0,-363.5 +- 8.9,363.5 +- 8.9
always_1,88.9 +- 6.6,-88.9 +- 6.6
CNN_20_ENMO_HRV,22.2 +- 5.4,-22.2 +- 5.4
CNN_50_ENMO_HRV,19.6 +- 5.8,-19.6 +- 5.8
CNN_100_ENMO_HRV,17.4 +- 5.9,-17.4 +- 5.9
LSTM_20_ENMO_HRV,1.0 +- 5.6,-1.0 +- 5.6
LSTM_50_ENMO_HRV,0.9 +- 5.5,-0.9 +- 5.5
LSTM_100_ENMO_HRV,21.4 +- 5.5,-21.4 +- 5.5
SGD_hinge,24.0 +- 6.1,-24.0 +- 6.1
SGD_log,14.7 +- 6.5,-14.7 +- 6.5
SGD_perceptron,-9.3 +- 6.8,9.3 +- 6.8
Random_forest_300,11.3 +- 5.9,-11.3 +- 5.9
stages,364.0 +- 8.7,88.9 +- 6.6
