,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,0.3391770889410761,0.0,0.10130910743381152,0.06783541778821522,0.2,0.8
always_1,0.08948462080605857,0.0,0.032853927112749176,0.017896924161211712,0.2,0.8
always_2,0.3778077724290206,0.0,0.10968373963022734,0.07556155448580412,0.2,0.8
always_3,0.07113153521467415,0.0,0.02656313734630849,0.01422630704293483,0.2,0.8
always_4,0.12239898260917056,0.0,0.04362048950708681,0.024479796521834112,0.2,0.8
CNN_20_ENMO_HRV,0.6139012205048984,0.5462762307665543,0.39970515886042346,0.5183499694944034,0.42513462500089183,0.8858826318042219
CNN_50_ENMO_HRV,0.63031939102189,0.5781723586053245,0.4207447601595843,0.5552532082132814,0.4403214269368695,0.8903731235410033
CNN_100_ENMO_HRV,0.6318642022506391,0.5838528559278195,0.4411453382244198,0.5559150126238069,0.4479231564834191,0.8904640784789949
LSTM_20_ENMO_HRV,0.6274196191026051,0.5623316076472428,0.4084681488348306,0.5368840442180552,0.42999410644109676,0.8884473500380086
LSTM_50_ENMO_HRV,0.638984897779789,0.5898009931613982,0.4252534412696827,0.5586361017606801,0.43397172449192645,0.8903766141757554
LSTM_100_ENMO_HRV,0.6380226416272011,0.5969440143588179,0.4319505118782564,0.5556356164161917,0.4333207550192081,0.8896519315350954
SGD_hinge,0.5623971101107115,0.4632967331774722,0.2791030965615497,0.35193768225258454,0.3189108886898059,0.863241512814167
SGD_log,0.5684957335642749,0.47711567566062785,0.2729667409117214,0.39783129012493135,0.31819674261910325,0.8638016687693527
SGD_perceptron,0.37521488220164206,0.0671353240479462,0.2525061821236144,0.32506286187188904,0.25933699823098194,0.8340647501610026
Random_forest_300,0.5700093364853724,0.48490853058711036,0.2951477643297745,0.4102460803717996,0.32796637784591054,0.865538257467588
stages,1.0,1.0,1.0,1.0,1.0,1.0
