,N1 sleep,N2 sleep,N3 sleep,REM sleep,Wake
stages,49.4 +- 3.2,208.7 +- 6.2,39.3 +- 3.6,67.6 +- 3.0,187.4 +- 8.6
CNN_20,-43.3 +- 3.1,80.8 +- 8.4,-39.1 +- 3.6,18.5 +- 6.0,-16.9 +- 7.2
CNN_50,-42.0 +- 3.1,86.6 +- 8.5,-37.9 +- 3.6,14.8 +- 5.9,-21.5 +- 7.1
CNN_100,-40.2 +- 3.1,92.4 +- 8.0,-34.3 +- 3.5,8.2 +- 5.0,-26.2 +- 7.1
LSTM_20,-45.6 +- 3.0,68.3 +- 7.3,-37.8 +- 3.5,3.8 +- 4.4,11.3 +- 7.0
LSTM_50,-46.0 +- 3.0,71.9 +- 7.5,-35.2 +- 3.5,-12.9 +- 3.9,22.2 +- 7.1
LSTM_100,-46.2 +- 3.0,97.7 +- 7.5,-32.3 +- 3.5,-15.9 +- 3.9,-3.3 +- 6.8
max_ensemble,-47.0 +- 3.1,76.4 +- 7.8,-37.1 +- 3.5,4.7 +- 5.1,3.0 +- 6.9
mean_ensemble,-46.3 +- 3.1,91.9 +- 7.8,-38.4 +- 3.5,-2.1 +- 4.8,-5.1 +- 6.9
